EST_DATE,Total_ASSETS,IDRSSD,Financial Institution Name,Financial Institution Address,Financial Institution City,Financial Institution State,Financial Institution Zip Code,Tract_Code,Tract Income Level,Underserved or Distressed Tract,2017 FFIEC Estimated MSA/MD/non-MSA/MD Median Family Income,2017 Estimated Tract Median Family Income,2010 Tract Median Family Income,Tract Median Family Income %,Tract Population,Tract Minority %,Tract Minority Population,Owner-Occupied Units,1 to 4 Family Units,Tract Income Level,2010 MSA/MD/statewide non-MSA/MD Median Family Income,2017 FFIEC Estimated MSA/MD/non-MSA/MD Median Family Income,% below Poverty Line,Tract Median Family Income %,2010 Tract Median Family Income,2017 Estimated Tract Median Family Income,2010 Tract Median Household Income,Tract Population,Tract Minority %,Number of Families,Number of Households,Non-Hispanic White Population,Tract Minority Population,American Indian Population,Asian/Hawaiian/Pacific Islander Population,Black Population,Hispanic Population,Other/Two or More Races Population
19801016,81036,50461,CALIFORNIA PACIFIC BANK,"100 MONTGOMERY STREET, SUITE 2250",SAN FRANCISCO,CA,94104,0117.00,Low,No,$113100,$46247,$42426,40.89,1635,67.58,1105,43,69,Low,$103742,$113100,25.21,40.89,$42426,$46247,$34914,1635,67.58,269,1024,530,1105,0,723,105,247,30
19620419,14194820,595869,CATHAY BANK,777 NORTH BROADWAY STREET,LOS ANGELES,CA,90012,2071.02,Low,No,$64300,$30118,$29375,46.84,2239,98.66,2209,19,40,Low,$62703,$64300,36.22,46.84,$29375,$30118,$17689,2239,98.66,525,946,30,2209,56,1791,87,275,0
20030515,788357,3189063,COMMERCIAL BANK OF CALIFORNIA,"19752 MACARTHUR BOULEVARD, SUITE 100",IRVINE,CA,92612,0626.10,Middle,No,$88000,$100663,$98384,114.39,7800,45.38,3540,723,138,Middle,$86003,$88000,17.73,114.39,$98384,$100663,$80269,7800,45.38,1559,4298,4260,3540,0,2355,156,780,249
20050303,921965,3337097,COMMONWEALTH BUSINESS BANK,"3435 WILSHIRE BOULEVARD, SUITE 100",LOS ANGELES,CA,90010,2121.02,Low,No,$64300,$29006,$28291,45.11,2315,87.04,2015,24,38,Low,$62703,$64300,31.62,45.11,$28291,$29006,$24358,2315,87.04,483,1215,300,2015,0,923,155,924,13
19761001,191495,299868,COMMUNITY COMMERCE BANK,390 WEST FOOTHILL BOULEVARD,CLAREMONT,CA,91711,4019.02,Upper,No,$64300,$119238,$116282,185.44,5690,39.19,2230,1177,2306,Upper,$62703,$64300,4.08,185.44,$116282,$119238,$68750,5690,39.19,1406,2652,3460,2230,55,623,445,813,294
19650427,3027937,996260,CTBC BANK CORP. (USA),"801 SOUTH FIGUEROA STREET, SUITE 2300",LOS ANGELES,CA,90017,2077.10,Unknown,No,$64300,$0,$0,0.00,3197,53.46,1709,285,61,Unknown,$62703,$64300,27.48,0.00,$0,$0,$57801,3197,53.46,404,2153,1488,1709,0,922,214,550,23
19720101,35298930,197478,EAST WEST BANK,"135 NORTH LOS ROBLES AVENUE, 7TH FLOOR",PASADENA,CA,91101,4619.02,Moderate,No,$64300,$51112,$49844,79.49,1573,57.91,911,37,56,Moderate,$62703,$64300,28.29,79.49,$49844,$51112,$36250,1573,57.91,281,1059,662,911,0,217,248,377,69
19850226,113487,206772,EASTERN INTERNATIONAL BANK,688 NEW HIGH STREET,LOS ANGELES,CA,90012,2071.02,Low,No,$64300,$30118,$29375,46.84,2239,98.66,2209,19,40,Low,$62703,$64300,36.22,46.84,$29375,$30118,$17689,2239,98.66,525,946,30,2209,56,1791,87,275,0
19950503,876634,2297998,EVERTRUST BANK,"2 NORTH LAKE AVENUE, SUITE 110",PASADENA,CA,91101,4623.02,Upper,No,$64300,$102964,$100407,160.13,2774,73.18,2030,351,496,Upper,$62703,$64300,20.46,160.13,$100407,$102964,$75594,2774,73.18,524,1395,744,2030,0,897,228,714,191
20050818,914841,3374878,FIRST CHOICE BANK,12845 TOWNE CENTER DRIVE,CERRITOS,CA,90703,5545.12,Upper,No,$64300,$115682,$112813,179.91,6018,83.93,5051,1614,1902,Upper,$62703,$64300,2.42,179.91,$112813,$115682,$103935,6018,83.93,1574,1831,967,5051,12,4192,323,361,163
19970520,520362,2332910,FIRST COMMERCIAL BANK (U.S.A),200 EAST MAIN STREET,ALHAMBRA,CA,91801,4810.02,Middle,No,$64300,$52925,$51611,82.31,5685,97.92,5567,834,1087,Middle,$62703,$64300,12.82,82.31,$51611,$52925,$52306,5685,97.92,1458,2000,118,5567,0,2756,20,2599,192
20051013,862886,3386264,FIRST GENERAL BANK,19036 COLIMA ROAD,ROWLAND HEIGHTS,CA,91748,4087.05,Middle,No,$64300,$58654,$57202,91.22,5525,89.29,4933,1185,1512,Middle,$62703,$64300,7.93,91.22,$57202,$58654,$55387,5525,89.29,1400,1600,592,4933,0,3415,14,1381,123
19900608,131784,1493319,"GATEWAY BANK, F.S.B.","2201 BROADWAY, SUITE 404",OAKLAND,CA,94612,4028.00
19821215,4813290,657365,HANMI BANK,"3660 WILSHIRE BOULEVARD, PH-A",LOS ANGELES,CA,90010,2125.02,Middle,No,$64300,$58121,$56683,90.39,2790,86.31,2408,65,94,Middle,$62703,$64300,14.81,90.39,$56683,$58121,$38403,2790,86.31,561,1275,382,2408,0,1103,164,1021,120
20080205,328999,3690635,MEGA BANK,245 WEST VALLEY BOULEVARD,SAN GABRIEL,CA,91776,4814.01,Moderate,No,$64300,$46855,$45694,72.87,6294,95.49,6010,741,1317,Moderate,$62703,$64300,21.05,72.87,$45694,$46855,$42411,6294,95.49,1479,1854,284,6010,9,4978,0,965,58
19830901,155599,534466,METROPOLITAN BANK,250 EAST 18TH STREET,OAKLAND,CA,94606,4053.01,Moderate,No,$97400,$64917,$62535,66.65,2777,53.98,1499,149,337,Moderate,$93822,$97400,6.45,66.65,$62535,$64917,$58689,2777,53.98,633,1489,1278,1499,8,351,706,303,131
19820216,284589,519360,MISSION NATIONAL BANK,3060 16TH STREET,SAN FRANCISCO,CA,94103,0201.00,Low,No,$113100,$39212,$35972,34.67,5548,71.59,3972,597,577,Low,$103742,$113100,28.25,34.67,$35972,$39212,$36951,5548,71.59,777,2910,1576,3972,51,1048,226,2429,218
19800212,430110,300063,"NEW OMNI BANK, NATIONAL ASSOCIATION",1235 SOUTH GARFIELD AVENUE,ALHAMBRA,CA,91801,4816.04,Middle,No,$64300,$62107,$60571,96.59,4196,91.21,3827,475,926,Middle,$62703,$64300,17.61,96.59,$60571,$62107,$50521,4196,91.21,921,1353,369,3827,0,2545,85,1168,29
20050610,800095,3357219,OPEN BANK,"1000 WILSHIRE BOULEVARD, SUITE 100",LOS ANGELES,CA,90017,2077.10,Unknown,No,$64300,$0,$0,0.00,3197,53.46,1709,285,61,Unknown,$62703,$64300,27.48,0.00,$0,$0,$57801,3197,53.46,404,2153,1488,1709,0,922,214,550,23
20061227,265521,3546862,PACIFIC ALLIANCE BANK,8400 EAST VALLEY BOULEVARD,ROSEMEAD,CA,91770,4813.00,Middle,No,$64300,$53928,$52593,83.87,3334,97.15,3239,572,896,Middle,$62703,$64300,15.83,83.87,$52593,$53928,$51202,3334,97.15,756,869,95,3239,0,2269,1,900,69
